order_id,assignment_id,user_id,assistment_id,problem_id,original,correct,attempt_count,ms_first_response,tutor_mode,answer_type,sequence_id,student_class_id,position,type,base_sequence_id,skill_id,skill_name,teacher_id,school_id,hint_count,hint_total,overlap_time,template_id,answer_id,answer_text,first_action,bottom_hint,opportunity,opportunity_original
35627398,282721,79493,55588,97635,1,1,1,39308,tutor,algebra,5968,12432,18,MasterySection,5968,311.0,Equation Solving Two or Fewer Steps,49070,5177,0,3,39308,55506,,6,0,,3,3.0
35743501,282634,91935,55623,97776,1,1,1,21012,tutor,algebra,5952,13804,2,MasterySection,5952,50.0,Ordering Fractions,63320,5456,0,0,21012,54699,,4-Mar,0,,2,2.0
23578740,265348,78917,35898,56094,1,1,1,34386,tutor,algebra,5976,12352,81,MasterySection,5976,375.0,Solving Inequalities,42999,2770,0,4,34386,32884,,2,0,,4,4.0
36551418,286057,92358,99172,189194,1,0,4,3766,tutor,algebra,11898,14061,11,MasterySection,11898,277.0,Addition and Subtraction Integers,65465,5761,0,4,19069,29881,,11,0,,26,26.0
33722721,279730,78587,50383,89276,1,0,2,39615,tutor,algebra,7212,12375,6,MasterySection,6272,298.0,Area Triangle,46174,5056,3,3,114796,30010,,54,0,1.0,60,60.0
31490413,270300,79019,42017,74546,0,0,1,1056,tutor,algebra,6110,12351,160,MasterySection,6094,,,42999,2770,4,4,3690,30871,,,1,1.0,132,
31639409,274500,79774,44539,80898,1,1,1,41814,tutor,fill_in_1,6473,12437,21,MasterySection,6473,75.0,Square Root,43007,2770,0,0,41814,42208,,21,0,,14,14.0
28223833,270685,78452,51670,90994,1,1,1,94254,tutor,algebra,9538,12501,6,MasterySection,7033,94.0,,50218,5177,0,3,94254,48523,,19,0,,11,11.0
26613395,268049,78770,48440,87053,1,1,1,15453,tutor,algebra,8904,12574,22,MasterySection,6917,61.0,Division Fractions,11804,76,0,5,15453,29863,,25/21,0,,5,5.0
35230135,281135,91241,33143,51428,1,1,1,5783,tutor,algebra,5948,13638,2,MasterySection,5948,13.0,Median,28420,4780,0,3,5783,30799,,37,0,,1,1.0
27802929,266609,83654,37234,58820,1,0,2,18382,tutor,algebra,8468,12634,14,MasterySection,5960,280.0,Addition and Subtraction Fractions,54767,5117,0,3,22598,30649,,31/14,0,,5,5.0
35537209,282730,79909,36513,56889,1,0,0,562610,tutor,algebra,5922,12473,4,MasterySection,5922,10.0,Table,24116,76,0,0,562610,36483,,,2,,3,3.0
38222264,290766,96211,32169,49352,1,1,1,58247,tutor,algebra,5925,14414,225,MasterySection,5925,92.0,Pattern Finding ,69274,2770,0,0,58247,30036,,160400,0,,12,10.0
33648990,279733,78513,50853,89767,1,1,1,112216,tutor,algebra,7220,12262,5,MasterySection,6180,303.0,Volume Cylinder,46174,5056,0,3,112216,31687,,4.71,0,,87,87.0
22819622,264586,79428,48512,87125,1,1,1,31986,tutor,algebra,7818,12432,12,MasterySection,6917,61.0,Division Fractions,49070,5177,0,4,31986,46275,,4,0,,6,6.0
25098161,266600,83654,34443,53868,1,0,1,3551,tutor,fill_in_1,8476,12634,5,MasterySection,5961,277.0,Addition and Subtraction Integers,54767,5117,3,3,14796,29948,,,1,1.0,26,26.0
30748841,272586,78897,57822,108951,1,0,0,891,tutor,algebra,6009,12438,28,MasterySection,6009,77.0,Finding Percents,23907,76,0,0,891,55691,,,2,,17,17.0
32120565,276939,88142,34563,54003,1,0,0,2285,tutor,algebra,9862,13214,2,MasterySection,5962,278.0,Addition and Subtraction Positive Decimals,60029,5448,0,0,2285,30677,,,2,,4,4.0
38185552,291423,96266,32166,49343,1,1,1,202322,tutor,algebra,5925,14415,88,MasterySection,5925,74.0,Subtraction Whole Numbers,69274,2770,0,0,202322,30036,,39600,0,,4,4.0
24816848,260461,78765,13409,13409,1,1,1,99031,tutor,choose_1,7355,12317,10,MasterySection,7355,204.0,Percents,47664,5056,0,0,99031,13409,19931.0,,0,,4,4.0
29135204,270915,86045,34562,53999,1,0,1,102672,tutor,algebra,5962,12872,2,MasterySection,5962,278.0,Addition and Subtraction Positive Decimals,45671,5049,0,0,102765,30677,,4.4,0,,1,1.0
31370283,270298,79034,41740,73608,0,0,1,2418,tutor,fill_in_1,6094,12351,158,MasterySection,6094,,,42999,2770,2,2,10654,30423,,,1,1.0,81,
31854881,275987,84837,34572,54042,0,0,2,17109,tutor,algebra,5962,13146,4,MasterySection,5962,,,59882,5260,3,3,26880,30677,,-0.01,0,1.0,21,
35730966,272587,78885,37786,60071,1,0,3,59702,tutor,fill_in_1,6011,12438,29,MasterySection,6011,76.0,,23907,76,4,6,105389,30478,,3:33,0,0.0,15,15.0
34286626,280055,78757,52321,91655,1,1,0,1,tutor,algebra,7220,12375,15,MasterySection,6180,317.0,Greatest Common Factor,46174,5056,0,2,1,31688,,60,0,,77,77.0
34780097,270298,79029,41752,73655,1,0,1,16549,tutor,algebra,6094,12351,158,MasterySection,6094,17.0,Probability of Two Distinct Events,42999,2770,0,0,16560,30424,,25-Feb,0,,34,34.0
35108437,281001,78519,50401,89294,1,1,1,46734,tutor,algebra,7212,12262,23,MasterySection,6272,295.0,Area Parallelogram,46174,5056,0,3,46734,30011,,195,0,,170,170.0
35701498,283158,91845,62560,119241,1,1,1,29371,tutor,algebra,10790,13857,1,MasterySection,10790,18.0,Probability of a Single Event,63339,5454,0,4,29371,30002,,6-May,0,,2,2.0
29079995,271059,78953,47383,85901,1,1,1,13546,tutor,algebra,9583,12438,16,MasterySection,6891,47.0,Conversion of Fraction Decimals Percents,23907,76,0,3,13546,29868,,0.5,0,,42,42.0
27932517,270142,79415,72696,134944,1,1,1,49742,tutor,fill_in_1,9069,12768,2,MasterySection,9069,,,45671,5049,0,0,49742,58293,,20(m^12)(n^12),0,,61,22.0
26811360,267966,78911,55611,97728,0,1,1,5881,tutor,algebra,7630,12352,142,MasterySection,5968,311.0,Equation Solving Two or Fewer Steps,42999,2770,0,1,5881,55508,,8,0,,68,
25509846,267470,78367,55597,97671,1,1,1,16303,tutor,algebra,7630,12316,21,MasterySection,5968,311.0,Equation Solving Two or Fewer Steps,46150,5056,0,3,16303,55509,,2/-2,0,,10,7.0
38198056,290875,96286,43095,77326,0,1,1,11164,tutor,algebra,6273,14414,117,MasterySection,6273,308.0,Volume Sphere,69274,2770,0,0,11164,31680,,4.5,0,,1,
27945487,267035,83477,47212,85730,1,0,3,11938,tutor,algebra,8035,12309,25,MasterySection,6875,49.0,Ordering Positive Decimals,35135,1357,0,4,44534,46045,,0.15,0,,3,3.0
36395682,285856,77899,34649,54166,1,0,1,6006,tutor,algebra,5965,14033,4,MasterySection,5965,279.0,Multiplication and Division Integers,48183,139,0,0,6006,30015,,60,0,,1442,1442.0
24979226,267062,78708,56404,101014,0,1,1,9413,tutor,choose_1,7629,12317,2,MasterySection,5951,,,47664,5056,0,0,9413,55828,184091.0,,0,,100,
29512908,271446,78880,38057,61105,1,1,1,13104,tutor,algebra,6018,12438,21,MasterySection,6018,47.0,Conversion of Fraction Decimals Percents,23907,76,0,5,13104,29866,,91,0,,31,31.0
23780551,266325,78771,51062,89986,1,1,1,30750,tutor,algebra,8189,12574,7,MasterySection,7020,279.0,Multiplication and Division Integers,11804,76,0,0,30750,29924,,-2,0,,6,6.0
34323410,280037,78528,53225,93185,1,1,1,39172,tutor,algebra,7228,12262,12,MasterySection,7114,11.0,Venn Diagram,46174,5056,0,2,39172,52495,,6,0,,51,51.0
31448083,273913,78457,50089,88914,1,1,1,71440,tutor,algebra,10575,12455,39,MasterySection,6998,25.0,Complementary and Supplementary Angles,49076,5177,0,3,71440,30034,,107,0,,13,13.0
22321670,263540,79691,32938,51018,0,1,1,245453,tutor,algebra,7620,12237,9,MasterySection,5942,310.0,Order of Operations All,48181,139,0,3,245453,30078,,4\,0,,9,
38184470,291368,96274,32170,49356,0,0,1,1343,tutor,algebra,5925,14415,141,MasterySection,5925,,,69274,2770,3,3,5515,30036,,,1,1.0,188,
24324553,265376,78949,53401,93372,1,0,5,18766,tutor,algebra,7118,12438,6,MasterySection,7118,2.0,Circle Graph,23907,76,2,2,52656,52570,,45,0,1.0,31,31.0
33765297,279730,78499,50375,89268,1,1,1,35313,tutor,algebra,7212,12375,6,MasterySection,6272,296.0,Area Rectangle,46174,5056,0,2,35313,30009,,10,0,,83,83.0
38174152,291481,96258,38314,61478,1,1,1,60187,tutor,algebra,6022,14415,45,MasterySection,6022,81.0,Unit Rate,69274,2770,0,0,60187,30306,,0.38,0,,4,4.0
32654103,276939,88130,34584,54087,1,0,0,3589,tutor,algebra,9862,13214,2,MasterySection,5962,278.0,Addition and Subtraction Positive Decimals,60029,5448,0,0,3589,30677,,,2,,17,17.0
38205710,291428,96254,51698,91022,1,0,1,82875,tutor,algebra,7033,14415,83,MasterySection,7033,94.0,,69274,2770,1,3,199000,48594,,,1,0.0,2,2.0
34296552,280057,78551,52332,91666,1,1,1,158881,tutor,algebra,7220,12262,16,MasterySection,6180,317.0,Greatest Common Factor,46174,5056,0,3,158881,47492,,6,0,,10,10.0
31429638,273913,85109,50047,88871,1,1,1,16678,tutor,algebra,10575,12455,39,MasterySection,6998,25.0,Complementary and Supplementary Angles,49076,5177,0,3,16678,30030,,111,0,,8,8.0
26517042,266698,79014,37526,59725,0,1,1,25350,tutor,algebra,5974,12351,94,MasterySection,5974,325.0,Write Linear Equation from Graph,42999,2770,0,4,25350,30987,,y=-5/2x+-5,0,,25,
36427811,285960,92246,75179,140060,1,1,1,7928,tutor,choose_1,9245,14020,47,MasterySection,9245,314.0,"Angles - Obtuse, Acute, and Right",58932,4780,0,2,7928,63251,257386.0,,0,,177,177.0
33748146,277637,70729,41681,73389,1,0,1,11611,tutor,algebra,6093,13241,145,MasterySection,6093,18.0,Probability of a Single Event,22763,73,0,0,11704,30246,,13-Jan,0,,2,2.0
38193573,291384,96236,53262,93222,1,0,2,6386,tutor,algebra,7114,14415,125,MasterySection,7114,11.0,Venn Diagram,69274,2770,0,2,27275,52497,,7,0,,10,10.0
29436309,270932,85698,52659,92339,1,0,2,18797,tutor,algebra,6850,12873,10,MasterySection,6850,70.0,Percent Of,45671,5049,0,3,25344,30037,,2,0,,10,10.0
28660556,270967,78461,36904,57945,1,0,1,16584,tutor,algebra,9656,12455,25,MasterySection,5918,9.0,Stem and Leaf Plot,49076,5177,0,0,16593,30048,,31,0,,6,6.0
28889248,271290,78462,34340,53741,1,1,1,8247,tutor,algebra,9795,12455,26,MasterySection,5959,74.0,Subtraction Whole Numbers,49076,5177,0,0,8247,30525,,-5,0,,1,1.0
34666932,268004,78904,44369,80188,1,1,1,21948,tutor,fill_in_1,6468,12352,174,MasterySection,6468,27.0,Pythagorean Theorem,42999,2770,0,0,21948,42219,,12,0,,38,38.0
38212374,290918,96296,35351,55127,1,1,1,18247,tutor,algebra,5972,14414,74,MasterySection,5972,368.0,Solving for a variable,69274,2770,0,4,18247,30844,,88,0,,2,2.0
30675481,271896,78987,77979,147547,1,0,4,31634,tutor,algebra,9372,12888,13,MasterySection,9372,61.0,Division Fractions,42999,2770,0,2,93653,77909,,6-Apr,0,,16,16.0
28518992,266602,83249,51377,90593,0,0,1,16939,tutor,algebra,8440,12634,7,MasterySection,7025,,,54767,5117,4,4,28952,30017,,,1,1.0,2,
38284085,290820,96224,44394,80282,1,1,1,8750,tutor,choose_1,6471,14414,171,MasterySection,6471,27.0,Pythagorean Theorem,69274,2770,0,5,8750,42214,138536.0,,0,,14,14.0
25016795,267254,84138,46543,84755,1,1,1,65303,tutor,algebra,7158,12661,11,MasterySection,6854,74.0,Subtraction Whole Numbers,55425,5056,0,0,65303,29915,,5,0,,2,2.0
30874239,270574,71810,43743,79041,1,1,1,35876,tutor,choose_1,6402,11816,148,MasterySection,6402,53.0,Ordering Real Numbers,22763,73,0,3,35876,42865,135451.0,,0,,10,10.0
36410551,285866,77118,99304,189408,1,1,1,4426,tutor,algebra,11899,14033,6,MasterySection,11899,279.0,Multiplication and Division Integers,48183,139,0,0,4426,30015,,-21,0,,1925,1925.0
32022921,271512,88021,48419,87032,1,0,8,22418,tutor,algebra,6917,12926,9,MasterySection,6917,61.0,Division Fractions,57560,5260,5,5,61724,29863,,40/8,0,1.0,5,5.0
23178755,226375,79559,41752,73655,1,1,1,10031,tutor,algebra,6094,11896,2,MasterySection,6094,16.0,Counting Methods,14630,2770,0,0,10031,30424,,25-Jan,0,,5,5.0
32623412,278113,79766,36775,57506,1,1,1,15465,tutor,algebra,5914,12437,56,MasterySection,5914,11.0,Venn Diagram,43007,2770,0,0,15465,30041,,5,0,,2,2.0
32587575,271490,88911,34296,53565,1,1,1,7718,tutor,algebra,5959,12925,1,MasterySection,5959,85.0,Absolute Value,57560,5260,0,0,7718,30524,,21,0,,4,4.0
32528102,277527,70727,39383,66306,1,1,1,7247,tutor,choose_1,6038,13241,35,MasterySection,6038,50.0,Ordering Fractions,22763,73,0,4,7247,30070,104846.0,,0,,14,14.0
34321531,280037,78559,53275,93235,1,1,1,40939,tutor,algebra,7228,12262,12,MasterySection,7114,11.0,Venn Diagram,46174,5056,0,2,40939,52497,,18,0,,212,212.0
33702660,279733,78550,50855,89769,1,1,1,85620,tutor,algebra,7220,12262,5,MasterySection,6180,303.0,Volume Cylinder,46174,5056,0,3,85620,31687,,62.8,0,,45,45.0
38281516,290643,96230,72715,134963,1,1,1,34811,tutor,fill_in_1,9906,14413,54,MasterySection,9906,,,69274,2770,0,0,34811,58300,,45(x^6)(y^4),0,,79,40.0
23866670,263422,75169,32022,48885,1,1,1,49740,tutor,algebra,5921,12482,8,MasterySection,5921,12.0,Mean,22763,73,0,0,49740,30244,,15.3,0,,1,1.0
34532486,280057,78551,52317,91651,1,1,1,20107,tutor,algebra,7220,12262,16,MasterySection,6180,317.0,Greatest Common Factor,46174,5056,0,2,20107,31688,,20,0,,147,147.0
32763126,276939,88171,34571,54037,0,1,1,3775,tutor,algebra,9862,13214,2,MasterySection,5962,,,60029,5448,0,2,3775,30677,,1,0,,17,
27138775,267968,79075,57407,107872,1,1,1,77371,tutor,algebra,8564,12352,144,MasterySection,5970,311.0,Equation Solving Two or Fewer Steps,42999,2770,0,0,77371,55901,,-2.444444444,0,,42,27.0
35103624,280998,78492,53245,93205,1,1,0,1,tutor,algebra,7228,12375,24,MasterySection,7114,11.0,Venn Diagram,46174,5056,0,2,1,52497,,19,0,,110,110.0
36375499,285722,92245,75146,140027,1,1,1,7406,tutor,algebra,9245,14020,5,MasterySection,9245,314.0,"Angles - Obtuse, Acute, and Right",58932,4780,0,2,7406,61815,,3,0,,8,8.0
24305579,265376,80224,53417,93388,1,1,1,68638,tutor,algebra,7118,12438,6,MasterySection,7118,37.0,,23907,76,0,2,68638,52570,,32.4,0,,21,21.0
38166174,291495,96238,57838,109001,0,1,1,6389,tutor,choose_1,6009,14415,39,MasterySection,6009,,,69274,2770,0,0,6389,55693,200285.0,,0,,20,
28798968,270927,81470,78005,147573,1,1,1,19672,tutor,algebra,9372,12873,5,MasterySection,9372,61.0,Division Fractions,45671,5049,0,1,19672,77909,,40,0,,9,9.0
23843142,266097,78773,46958,85310,1,1,1,6430,tutor,algebra,8015,12574,3,MasterySection,6854,74.0,Subtraction Whole Numbers,11804,76,0,0,6430,29915,,29,0,,5,5.0
22412348,264294,79493,38602,62550,1,1,1,34782,tutor,choose_1,7765,12432,8,MasterySection,6039,50.0,Ordering Fractions,49070,5177,0,0,34782,30450,95521.0,,0,,6,6.0
23350013,265342,79063,57443,108045,0,1,1,8270,tutor,choose_1,5969,12352,75,MasterySection,5969,312.0,Equation Solving More Than Two Steps,42999,2770,0,0,8270,55836,198617.0,,0,,3,
36395790,285867,77899,49578,88270,1,1,1,4322,tutor,algebra,6937,14033,7,MasterySection,6937,86.0,Exponents,48183,139,0,3,4322,29913,,216,0,,278,278.0
29523599,265376,79008,53404,93375,1,0,2,102750,tutor,algebra,7118,12438,6,MasterySection,7118,37.0,,23907,76,2,2,115922,52570,,38,0,1.0,41,41.0
34300147,280036,78551,47134,85650,1,1,1,177805,tutor,algebra,7201,12262,13,MasterySection,7201,70.0,Percent Of,46174,5056,0,4,177805,46397,,10.66,0,,216,216.0
24238245,266582,83197,34760,54455,1,1,1,30774,tutor,algebra,7974,12309,9,MasterySection,5966,279.0,Multiplication and Division Integers,35135,1357,0,4,30774,30726,,22,0,,10,10.0
34295198,280037,78553,53225,93185,1,1,1,36482,tutor,algebra,7228,12262,12,MasterySection,7114,11.0,Venn Diagram,46174,5056,0,2,36482,52495,,6,0,,61,61.0
20775791,262917,78946,33715,52840,1,1,1,22593,tutor,algebra,6828,12438,2,MasterySection,5954,49.0,Ordering Positive Decimals,23907,76,0,4,22593,29876,,5.5,0,,1,1.0
33702719,279733,78555,50926,89840,1,1,1,25768,tutor,algebra,7220,12262,5,MasterySection,6180,307.0,Volume Rectangular Prism,46174,5056,0,3,25768,47492,,4,0,,150,150.0
35105789,280997,78494,50350,89235,1,1,1,20729,tutor,algebra,7212,12375,23,MasterySection,6272,296.0,Area Rectangle,46174,5056,0,2,20729,30000,,64,0,,83,83.0
32186456,274904,79608,69208,128668,1,1,1,36156,tutor,algebra,8936,12436,13,MasterySection,8936,82.0,Scientific Notation,43007,2770,0,2,36156,46036,,"430,000",0,,2,2.0
28888750,271290,78456,34290,53541,1,1,1,42082,tutor,algebra,9795,12455,26,MasterySection,5959,58.0,Addition Whole Numbers,49076,5177,0,0,42082,30524,,22,0,,1,1.0
29429410,270591,70704,52638,92318,1,1,1,20250,tutor,algebra,6850,11816,165,MasterySection,6850,2.0,Circle Graph,22763,73,0,3,20250,30037,,50,0,,2,2.0
27874091,268669,84336,48683,87314,1,1,1,12257,tutor,choose_1,7480,12699,6,MasterySection,7195,79.0,Proportion,55938,5255,0,5,12257,34871,151626.0,,0,,46,46.0
38284206,290764,96224,41968,74358,1,0,1,23992,tutor,fill_in_1,6109,14414,231,MasterySection,6094,17.0,Probability of Two Distinct Events,69274,2770,0,0,24032,31062,,16-Apr,0,,23,23.0
38174320,291410,96258,43125,77445,0,1,1,116265,tutor,algebra,6274,14415,101,MasterySection,6272,294.0,Area Irregular Figure,69274,2770,0,3,116265,31691,,16,0,,12,
30958857,271980,78910,33181,51466,1,1,1,14223,tutor,algebra,9875,12885,30,MasterySection,9875,15.0,Range,42999,2770,0,4,14223,30060,,12,0,,6,6.0
31845550,275987,87868,34569,54027,1,1,1,56628,tutor,algebra,5962,13146,4,MasterySection,5962,278.0,Addition and Subtraction Positive Decimals,59882,5260,0,0,56628,30677,,2.4,0,,5,5.0
24711470,266682,79013,57463,108124,0,1,1,2815,tutor,choose_1,5969,12351,82,MasterySection,5969,312.0,Equation Solving More Than Two Steps,42999,2770,0,0,2815,55833,198722.0,,0,,24,
28970424,271066,83335,53021,92979,1,0,2,30063,tutor,fill_in_1,7112,11996,39,MasterySection,7112,293.0,Translations,47424,5048,0,4,53563,50410,,"(-3 ,-7)",0,,3,3.0
22239155,264221,81643,54134,94119,1,1,1,81323,tutor,fill_in_1,7734,12267,8,MasterySection,7130,86.0,Exponents,48181,139,0,3,81323,46374,,s^2,0,,3,3.0
38174862,291402,96258,40668,71129,1,1,1,52308,tutor,algebra,6056,14415,109,MasterySection,6056,46.0,Calculations with Similar Figures,69274,2770,0,0,52308,30484,,17,0,,6,6.0
29729091,272228,86371,53616,93587,1,1,1,11153,tutor,algebra,10207,12766,8,MasterySection,10207,9.0,Stem and Leaf Plot,56898,5260,0,3,11153,52588,,53,0,,10,10.0
31798149,274908,79665,50758,89672,1,1,1,90517,tutor,choose_1,10589,12436,17,MasterySection,7011,75.0,Square Root,43007,2770,0,3,90517,47130,155614.0,,0,,14,14.0
36368117,285721,87038,47330,85848,1,1,1,5523,tutor,algebra,6876,14020,4,MasterySection,6876,47.0,Conversion of Fraction Decimals Percents,58932,4780,0,3,5523,29870,,10-Apr,0,,140,140.0
30570021,270567,70729,39250,66168,0,1,1,11111,tutor,choose_1,6039,11816,141,MasterySection,6039,,,22763,73,0,3,11111,30522,104436.0,,0,,32,
35348596,277530,70874,43712,79010,1,1,1,38312,tutor,choose_1,6402,13241,38,MasterySection,6402,51.0,Ordering Integers,22763,73,0,1,38312,42864,135327.0,,0,,10,10.0
22000017,264000,80182,38387,61699,0,0,1,35782,tutor,algebra,6022,12466,32,MasterySection,6022,,,48003,1998,3,5,58641,30488,,,1,0.0,53,
35512846,277561,71740,44122,79560,1,0,0,68488,tutor,algebra,6464,13241,69,MasterySection,6464,27.0,Pythagorean Theorem,22763,73,0,0,68488,42867,,,2,,28,28.0
36448925,285724,92249,85843,162179,1,0,3,3962,tutor,choose_n,10293,14020,7,MasterySection,10293,324.0,Recognize Linear Pattern,58932,4780,0,2,13110,62368,1.0,,0,,85,85.0
38289876,291448,96262,57381,107702,0,1,1,2449,tutor,choose_1,5970,14415,63,MasterySection,5970,311.0,Equation Solving Two or Fewer Steps,69274,2770,0,0,2449,55901,198069.0,,0,,48,
35076902,276943,88148,48242,86848,1,0,2,34371,tutor,algebra,9865,13214,6,MasterySection,9865,67.0,Multiplication Fractions,60029,5448,0,3,44411,46269,,8,0,,34,34.0
34319570,280037,78555,53254,93214,1,1,1,30683,tutor,algebra,7228,12262,12,MasterySection,7114,11.0,Venn Diagram,46174,5056,0,2,30683,52497,,21,0,,62,62.0
34989307,280878,80138,49033,87713,1,1,1,63331,tutor,algebra,6925,12640,40,MasterySection,6925,311.0,Equation Solving Two or Fewer Steps,23907,76,0,3,63331,46279,,7,0,,13,13.0
24305930,265376,80223,53499,93470,1,1,1,51438,tutor,algebra,7118,12438,6,MasterySection,7118,48.0,Equivalent Fractions,23907,76,0,3,51438,52571,,36,0,,4,4.0
21408358,263329,71824,37744,60029,1,0,2,15634,tutor,algebra,6010,12476,5,MasterySection,6010,54.0,Rounding,22763,73,3,4,69885,29908,,1.8,0,0.0,3,3.0
35719963,280785,85694,84218,160185,1,0,5,12840,tutor,algebra,10134,13577,43,MasterySection,10134,346.0,Polynomial Factors,45671,5049,4,4,50000,44605,,(x+49),0,1.0,59,59.0
32789390,277530,73684,43700,78998,1,1,1,56826,tutor,choose_1,6402,13241,38,MasterySection,6402,75.0,Square Root,22763,73,0,2,56826,42864,135279.0,,0,,37,37.0
33667047,279732,78542,50394,89287,1,1,1,54642,tutor,algebra,7212,12262,6,MasterySection,6272,297.0,Area Trapezoid,46174,5056,0,3,54642,30012,,68,0,,109,109.0
38159913,291365,96247,36847,57722,1,0,1,93772,tutor,algebra,5916,14415,148,MasterySection,5916,79.0,Proportion,69274,2770,0,0,93793,30397,,20.25,0,,2,2.0
35107919,281003,78513,46777,85105,1,1,0,1,tutor,algebra,7201,12262,25,MasterySection,7201,70.0,Percent Of,46174,5056,0,4,1,46399,,31.93,0,,112,112.0
38225411,291378,96271,36885,57871,1,1,1,13774,tutor,algebra,5918,14415,131,MasterySection,5918,15.0,Range,69274,2770,0,0,13774,30048,,30,0,,8,8.0
22993221,265449,79483,46567,84815,0,1,1,3674,tutor,algebra,7900,12432,14,MasterySection,6854,,,49070,5177,0,2,3674,30524,,1,0,,36,
23203763,265375,82142,53462,93433,1,1,1,49126,tutor,algebra,7229,12438,6,MasterySection,7118,48.0,Equivalent Fractions,23907,76,0,3,49126,52571,,60,0,,2,2.0
38301520,291368,96275,32161,49329,0,0,2,11287,tutor,algebra,5925,14415,141,MasterySection,5925,92.0,Pattern Finding ,69274,2770,0,3,18046,30036,,27,0,,45,
26394187,266600,83292,34421,53846,1,1,1,13364,tutor,fill_in_1,8476,12634,5,MasterySection,5961,277.0,Addition and Subtraction Integers,54767,5117,0,4,13364,30650,,25,0,,21,21.0
34260460,217900,77902,36818,57635,1,0,1,12227,tutor,algebra,5870,11771,1,MasterySection,5870,11.0,Venn Diagram,24455,75,0,0,12239,30046,,17,0,,1,1.0
31500640,272093,78982,74264,137947,1,0,2,25922,tutor,algebra,9884,12888,35,MasterySection,9884,,,42999,2770,0,2,41016,74250,,25-Dec,0,,109,31.0
34555037,280282,90705,47352,85870,1,0,1,6911,tutor,algebra,6876,13578,3,MasterySection,6876,47.0,Conversion of Fraction Decimals Percents,63066,5446,3,3,14369,29870,,,1,1.0,13,13.0
34336126,280033,78582,53275,93235,1,1,1,24905,tutor,algebra,7228,12375,12,MasterySection,7114,11.0,Venn Diagram,46174,5056,0,2,24905,52497,,18,0,,105,105.0
33721854,279720,89935,62622,119373,1,1,1,10187,tutor,algebra,10665,13481,24,MasterySection,10665,18.0,Probability of a Single Event,62006,5451,0,4,10187,30247,,17/24,0,,10,10.0
31529558,271993,79064,62617,119368,1,1,1,7528,tutor,algebra,9880,12886,33,MasterySection,9880,18.0,Probability of a Single Event,42999,2770,0,4,7528,30247,,16/22,0,,10,6.0
